"IANA_Name","Win_DisplayName","Daylight_Start","Daylight_End","Offset"
"America/Argentina/Buenos_Aires","(UTC-03:00) City of Buenos Aires","At 03:00 on Saturday,Week 3 of Oct (2008)","At 04:00 on Sunday,Week 3 of Mar (2008)","01:00:00"
"America/Argentina/Buenos_Aires","(UTC-03:00) City of Buenos Aires","At 03:00 on Sunday,Week 5 of Dec (2007)","At 04:00 on Monday,Week 1 of Jan (2007)","01:00:00"
"America/Argentina/Buenos_Aires","(UTC-03:00) City of Buenos Aires","At 03:00 on Thursday,Week 1 of Jan (2009)","At 04:00 on Saturday,Week 2 of Mar (2009)","01:00:00"
"America/Argentina/Catamarca","(UTC-03:00) City of Buenos Aires","At 03:00 on Saturday,Week 3 of Oct (2008)","At 04:00 on Sunday,Week 3 of Mar (2008)","01:00:00"
"America/Argentina/Catamarca","(UTC-03:00) City of Buenos Aires","At 03:00 on Sunday,Week 5 of Dec (2007)","At 04:00 on Monday,Week 1 of Jan (2007)","01:00:00"
"America/Argentina/Catamarca","(UTC-03:00) City of Buenos Aires","At 03:00 on Thursday,Week 1 of Jan (2009)","At 04:00 on Saturday,Week 2 of Mar (2009)","01:00:00"
"America/Argentina/Cordoba","(UTC-03:00) City of Buenos Aires","At 03:00 on Saturday,Week 3 of Oct (2008)","At 04:00 on Sunday,Week 3 of Mar (2008)","01:00:00"
"America/Argentina/Cordoba","(UTC-03:00) City of Buenos Aires","At 03:00 on Sunday,Week 5 of Dec (2007)","At 04:00 on Monday,Week 1 of Jan (2007)","01:00:00"
"America/Argentina/Cordoba","(UTC-03:00) City of Buenos Aires","At 03:00 on Thursday,Week 1 of Jan (2009)","At 04:00 on Saturday,Week 2 of Mar (2009)","01:00:00"
"America/Argentina/Jujuy","(UTC-03:00) City of Buenos Aires","At 03:00 on Saturday,Week 3 of Oct (2008)","At 04:00 on Sunday,Week 3 of Mar (2008)","01:00:00"
"America/Argentina/Jujuy","(UTC-03:00) City of Buenos Aires","At 03:00 on Sunday,Week 5 of Dec (2007)","At 04:00 on Monday,Week 1 of Jan (2007)","01:00:00"
"America/Argentina/Jujuy","(UTC-03:00) City of Buenos Aires","At 03:00 on Thursday,Week 1 of Jan (2009)","At 04:00 on Saturday,Week 2 of Mar (2009)","01:00:00"
"America/Argentina/La_Rioja","(UTC-03:00) City of Buenos Aires","At 03:00 on Saturday,Week 3 of Oct (2008)","At 04:00 on Sunday,Week 3 of Mar (2008)","01:00:00"
"America/Argentina/La_Rioja","(UTC-03:00) City of Buenos Aires","At 03:00 on Sunday,Week 5 of Dec (2007)","At 04:00 on Monday,Week 1 of Jan (2007)","01:00:00"
"America/Argentina/La_Rioja","(UTC-03:00) City of Buenos Aires","At 03:00 on Thursday,Week 1 of Jan (2009)","At 04:00 on Saturday,Week 2 of Mar (2009)","01:00:00"
"America/Argentina/Mendoza","(UTC-03:00) City of Buenos Aires","At 03:00 on Saturday,Week 3 of Oct (2008)","At 04:00 on Sunday,Week 3 of Mar (2008)","01:00:00"
"America/Argentina/Mendoza","(UTC-03:00) City of Buenos Aires","At 03:00 on Sunday,Week 5 of Dec (2007)","At 04:00 on Monday,Week 1 of Jan (2007)","01:00:00"
"America/Argentina/Mendoza","(UTC-03:00) City of Buenos Aires","At 03:00 on Thursday,Week 1 of Jan (2009)","At 04:00 on Saturday,Week 2 of Mar (2009)","01:00:00"
"America/Argentina/Rio_Gallegos","(UTC-03:00) City of Buenos Aires","At 03:00 on Saturday,Week 3 of Oct (2008)","At 04:00 on Sunday,Week 3 of Mar (2008)","01:00:00"
"America/Argentina/Rio_Gallegos","(UTC-03:00) City of Buenos Aires","At 03:00 on Sunday,Week 5 of Dec (2007)","At 04:00 on Monday,Week 1 of Jan (2007)","01:00:00"
"America/Argentina/Rio_Gallegos","(UTC-03:00) City of Buenos Aires","At 03:00 on Thursday,Week 1 of Jan (2009)","At 04:00 on Saturday,Week 2 of Mar (2009)","01:00:00"
"America/Argentina/Salta","(UTC-03:00) City of Buenos Aires","At 03:00 on Saturday,Week 3 of Oct (2008)","At 04:00 on Sunday,Week 3 of Mar (2008)","01:00:00"
"America/Argentina/Salta","(UTC-03:00) City of Buenos Aires","At 03:00 on Sunday,Week 5 of Dec (2007)","At 04:00 on Monday,Week 1 of Jan (2007)","01:00:00"
"America/Argentina/Salta","(UTC-03:00) City of Buenos Aires","At 03:00 on Thursday,Week 1 of Jan (2009)","At 04:00 on Saturday,Week 2 of Mar (2009)","01:00:00"
"America/Argentina/San_Juan","(UTC-03:00) City of Buenos Aires","At 03:00 on Saturday,Week 3 of Oct (2008)","At 04:00 on Sunday,Week 3 of Mar (2008)","01:00:00"
"America/Argentina/San_Juan","(UTC-03:00) City of Buenos Aires","At 03:00 on Sunday,Week 5 of Dec (2007)","At 04:00 on Monday,Week 1 of Jan (2007)","01:00:00"
"America/Argentina/San_Juan","(UTC-03:00) City of Buenos Aires","At 03:00 on Thursday,Week 1 of Jan (2009)","At 04:00 on Saturday,Week 2 of Mar (2009)","01:00:00"
